subset,class,num_images
pre,No passing,389
pre,No vechiles,396
pre,Yield,322
pre,Stop,341
pre,No entry,205
pre,output_120,265
pre,output_80,330
pre,output_50,220
js11,output_70,392
js11,No entry,310
js11,No passing,394
js11,output_80,368
js11,No vechiles,266
js12,output_50,271
js12,output_70,352
js12,output_120,347
js12,Stop,347
js12,Yield,263
js12,No entry,225
js12,output_30,240
js13,Yield,354
js13,output_120,367
js13,Stop,318
js13,output_20,362
js13,output_70,295
js13,output_100,287
js13,output_50,285
js13,output_80,381
rp11,output_20,320
rp11,output_120,330
rp11,Stop,267
rp11,output_70,347
rp11,No vechiles,305
rp12,output_40,306
rp12,output_80,238
rp12,No passing,315
rp12,output_20,338
rp13,No vechiles,234
rp13,output_40,318
rp13,output_100,335
rp13,output_50,391
rp13,Yield,293
rp13,No passing,366
rp13,Stop,264
rp13,No entry,335
rp21,Stop,393
rp21,No entry,352
rp21,No vechiles,207
rp22,output_70,274
rp22,output_30,246
rp22,output_40,211
rp22,output_80,370
rp23,No vechiles,320
rp23,output_120,215
rp23,Stop,228
rp23,output_40,318
rp23,No entry,209
rp23,No passing,251
rp23,output_80,244
